Kabupaten/Kota Se Jawa Timur,,,
,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota Provinsi Jawa Timur (Jiwa),,
,Laki-laki,Perempuan,Laki-laki + Perempuan
,2022,2022,2022
Kabupaten Pacitan,297014,295902,592916
Kabupaten Ponorogo,481540,482713,964253
Kabupaten Trenggalek,371527,368142,739669
Kabupaten Tulungagung,552835,552502,1105337
Kabupaten Blitar,624631,615691,1240322
Kabupaten Kediri,836025,819995,1656020
Kabupaten Malang,1353154,1332746,2685900
Kabupaten Lumajang,562257,574970,1137227
Kabupaten Jember,1279947,1287771,2567718
Kabupaten Banyuwangi,866723,865008,1731731
Kabupaten Bondowoso,384676,396741,781417
Kabupaten Situbondo,339230,352030,691260
Kabupaten Probolinggo,572137,587828,1159965
Kabupaten Pasuruan,809968,809067,1619035
Kabupaten Sidoarjo,1058552,1044849,2103401
Kabupaten Mojokerto,569966,563618,1133584
Kabupaten Jombang,673386,662586,1335972
Kabupaten Nganjuk,561677,555356,1117033
Kabupaten Madiun,375368,382297,757665
Kabupaten Magetan,333605,344738,678343
Kabupaten Ngawi,435470,441962,877432
Kabupaten Bojonegoro,660216,654909,1315125
Kabupaten Tuban,603875,605668,1209543
Kabupaten Lamongan,686117,685392,1371509
Kabupaten Gresik,670835,661829,1332664
Kabupaten Bangkalan,535522,551098,1086620
Kabupaten Sampang,488673,495489,984162
Kabupaten Pamekasan,420612,437206,857818
Kabupaten Sumenep,548419,588213,1136632
Kota Kediri,144876,144542,289418
Kota Blitar,75587,76373,151960
Kota Malang,420897,425229,846126
Kota Probolinggo,120545,122655,243200
Kota Pasuruan,105753,105744,211497
Kota Mojokerto,66611,67739,134350
Kota Madiun,97370,101822,199192
Kota Surabaya,1431041,1456182,2887223
Kota Batu,109119,107616,216735
Jawa Timur,20525756,20624218,41149974