kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_PENYAKIT_TIDAK_MENULAR
3501,KABUPATEN PACITAN,2018,41173
3502,KABUPATEN PONOROGO,2018,46778
3503,KABUPATEN TRENGGALEK,2018,40464
3504,KABUPATEN TULUNGAGUNG,2018,114929
3505,KABUPATEN BLITAR,2018,65232
3506,KABUPATEN KEDIRI,2018,43288
3507,KABUPATEN MALANG,2018,296972
3508,KABUPATEN LUMAJANG,2018,64334
3509,KABUPATEN JEMBER,2018,81963
3510,KABUPATEN BANYUWANGI,2018,175108
3511,KABUPATEN BONDOWOSO,2018,92623
3512,KABUPATEN SITUBONDO,2018,71467
3513,KABUPATEN PROBOLINGGO,2018,45539
3514,KABUPATEN PASURUAN,2018,294756
3515,KABUPATEN SIDOARJO,2018,194441
3516,KABUPATEN MOJOKERTO,2018,46130
3517,KABUPATEN JOMBANG,2018,53299
3518,KABUPATEN NGANJUK,2018,74774
3519,KABUPATEN MADIUN,2018,90553
3520,KABUPATEN MAGETAN,2018,105269
3521,KABUPATEN NGAWI,2018,158925
3522,KABUPATEN BOJONEGORO,2018,176376
3523,KABUPATEN TUBAN,2018,80538
3524,KABUPATEN LAMONGAN,2018,103939
3525,KABUPATEN GRESIK,2018,92798
3526,KABUPATEN BANGKALAN,2018,54345
3527,KABUPATEN SAMPANG,2018,28090
3528,KABUPATEN PAMEKASAN,2018,87549
3529,KABUPATEN SUMENEP,2018,58834
3571,KOTA KEDIRI,2018,13935
3572,KOTA BLITAR,2018,17175
3573,KOTA MALANG,2018,63169
3574,KOTA PROBOLINGGO,2018,23470
3575,KOTA PASURUAN,2018,28737
3576,KOTA MOJOKERTO,2018,47736
3577,KOTA MADIUN,2018,26210
3578,KOTA SURABAYA,2018,489229
3579,KOTA BATU,2018,13292
3501,KABUPATEN PACITAN,2019,29288
3502,KABUPATEN PONOROGO,2019,61691
3503,KABUPATEN TRENGGALEK,2019,72714
3504,KABUPATEN TULUNGAGUNG,2019,71059
3505,KABUPATEN BLITAR,2019,216193
3506,KABUPATEN KEDIRI,2019,109213
3507,KABUPATEN MALANG,2019,229420
3508,KABUPATEN LUMAJANG,2019,149053
3509,KABUPATEN JEMBER,2019,392779
3510,KABUPATEN BANYUWANGI,2019,372277
3511,KABUPATEN BONDOWOSO,2019,86686
3512,KABUPATEN SITUBONDO,2019,135182
3513,KABUPATEN PROBOLINGGO,2019,95753
3514,KABUPATEN PASURUAN,2019,426749
3515,KABUPATEN SIDOARJO,2019,404269
3516,KABUPATEN MOJOKERTO,2019,107086
3517,KABUPATEN JOMBANG,2019,143479
3518,KABUPATEN NGANJUK,2019,46202
3519,KABUPATEN MADIUN,2019,35019
3520,KABUPATEN MAGETAN,2019,121267
3521,KABUPATEN NGAWI,2019,112256
3522,KABUPATEN BOJONEGORO,2019,242645
3523,KABUPATEN TUBAN,2019,103215
3524,KABUPATEN LAMONGAN,2019,337121
3525,KABUPATEN GRESIK,2019,99174
3526,KABUPATEN BANGKALAN,2019,87320
3527,KABUPATEN SAMPANG,2019,215980
3528,KABUPATEN PAMEKASAN,2019,92792
3529,KABUPATEN SUMENEP,2019,61421
3571,KOTA KEDIRI,2019,27238
3572,KOTA BLITAR,2019,43169
3573,KOTA MALANG,2019,79842
3574,KOTA PROBOLINGGO,2019,26635
3575,KOTA PASURUAN,2019,46150
3576,KOTA MOJOKERTO,2019,21648
3577,KOTA MADIUN,2019,68426
3578,KOTA SURABAYA,2019,617181
3579,KOTA BATU,2019,12982
3501,KABUPATEN PACITAN,2020,46806
3502,KABUPATEN PONOROGO,2020,55887
3503,KABUPATEN TRENGGALEK,2020,80120
3504,KABUPATEN TULUNGAGUNG,2020,84288
3505,KABUPATEN BLITAR,2020,142546
3506,KABUPATEN KEDIRI,2020,62406
3507,KABUPATEN MALANG,2020,188607
3508,KABUPATEN LUMAJANG,2020,103121
3509,KABUPATEN JEMBER,2020,219352
3510,KABUPATEN BANYUWANGI,2020,278525
3511,KABUPATEN BONDOWOSO,2020,40626
3512,KABUPATEN SITUBONDO,2020,122002
3513,KABUPATEN PROBOLINGGO,2020,39964
3514,KABUPATEN PASURUAN,2020,298846
3515,KABUPATEN SIDOARJO,2020,294723
3516,KABUPATEN MOJOKERTO,2020,189052
3517,KABUPATEN JOMBANG,2020,144728
3518,KABUPATEN NGANJUK,2020,64808
3519,KABUPATEN MADIUN,2020,24687
3520,KABUPATEN MAGETAN,2020,130396
3521,KABUPATEN NGAWI,2020,100336
3522,KABUPATEN BOJONEGORO,2020,214112
3523,KABUPATEN TUBAN,2020,69020
3524,KABUPATEN LAMONGAN,2020,328352
3525,KABUPATEN GRESIK,2020,77029
3526,KABUPATEN BANGKALAN,2020,98402
3527,KABUPATEN SAMPANG,2020,39730
3528,KABUPATEN PAMEKASAN,2020,108805
3529,KABUPATEN SUMENEP,2020,138830
3571,KOTA KEDIRI,2020,19723
3572,KOTA BLITAR,2020,6000
3573,KOTA MALANG,2020,54560
3574,KOTA PROBOLINGGO,2020,17026
3575,KOTA PASURUAN,2020,31897
3576,KOTA MOJOKERTO,2020,22084
3577,KOTA MADIUN,2020,46707
3578,KOTA SURABAYA,2020,707155
3579,KOTA BATU,2020,14214
3501,KABUPATEN PACITAN,2021,99
3502,KABUPATEN PONOROGO,2021,31
3503,KABUPATEN TRENGGALEK,2021,51
3504,KABUPATEN TULUNGAGUNG,2021,31
3505,KABUPATEN BLITAR,2021,88
3506,KABUPATEN KEDIRI,2021,114
3507,KABUPATEN MALANG,2021,129
3508,KABUPATEN LUMAJANG,2021,89
3509,KABUPATEN JEMBER,2021,200
3510,KABUPATEN BANYUWANGI,2021,365
3511,KABUPATEN BONDOWOSO,2021,35
3512,KABUPATEN SITUBONDO,2021,134
3513,KABUPATEN PROBOLINGGO,2021,44
3514,KABUPATEN PASURUAN,2021,261
3515,KABUPATEN SIDOARJO,2021,292
3516,KABUPATEN MOJOKERTO,2021,145
3517,KABUPATEN JOMBANG,2021,251
3518,KABUPATEN NGANJUK,2021,67
3519,KABUPATEN MADIUN,2021,31
3520,KABUPATEN MAGETAN,2021,94
3521,KABUPATEN NGAWI,2021,162
3522,KABUPATEN BOJONEGORO,2021,170
3523,KABUPATEN TUBAN,2021,50
3524,KABUPATEN LAMONGAN,2021,250
3525,KABUPATEN GRESIK,2021,51
3526,KABUPATEN BANGKALAN,2021,69
3527,KABUPATEN SAMPANG,2021,13
3528,KABUPATEN PAMEKASAN,2021,223
3529,KABUPATEN SUMENEP,2021,42
3571,KOTA KEDIRI,2021,22
3572,KOTA BLITAR,2021,8
3573,KOTA MALANG,2021,62
3574,KOTA PROBOLINGGO,2021,21
3575,KOTA PASURUAN,2021,51
3576,KOTA MOJOKERTO,2021,36
3577,KOTA MADIUN,2021,49
3578,KOTA SURABAYA,2021,479
3579,KOTA BATU,2021,11
3501,KABUPATEN PACITAN,2022,96220
3502,KABUPATEN PONOROGO,2022,83167
3503,KABUPATEN TRENGGALEK,2022,214529
3504,KABUPATEN TULUNGAGUNG,2022,136041
3505,KABUPATEN BLITAR,2022,352263
3506,KABUPATEN KEDIRI,2022,178368
3507,KABUPATEN MALANG,2022,250173
3508,KABUPATEN LUMAJANG,2022,144578
3509,KABUPATEN JEMBER,2022,306496
3510,KABUPATEN BANYUWANGI,2022,352612
3511,KABUPATEN BONDOWOSO,2022,40242
3512,KABUPATEN SITUBONDO,2022,135378
3513,KABUPATEN PROBOLINGGO,2022,63192
3514,KABUPATEN PASURUAN,2022,363060
3515,KABUPATEN SIDOARJO,2022,504944
3516,KABUPATEN MOJOKERTO,2022,201314
3517,KABUPATEN JOMBANG,2022,257619
3518,KABUPATEN NGANJUK,2022,103271
3519,KABUPATEN MADIUN,2022,59266
3520,KABUPATEN MAGETAN,2022,188106
3521,KABUPATEN NGAWI,2022,215113
3522,KABUPATEN BOJONEGORO,2022,278630
3523,KABUPATEN TUBAN,2022,224226
3524,KABUPATEN LAMONGAN,2022,336384
3525,KABUPATEN GRESIK,2022,86211
3526,KABUPATEN BANGKALAN,2022,135615
3527,KABUPATEN SAMPANG,2022,80417
3528,KABUPATEN PAMEKASAN,2022,162086
3529,KABUPATEN SUMENEP,2022,252726
3571,KOTA KEDIRI,2022,38213
3572,KOTA BLITAR,2022,37174
3573,KOTA MALANG,2022,128549
3574,KOTA PROBOLINGGO,2022,30929
3575,KOTA PASURUAN,2022,52408
3576,KOTA MOJOKERTO,2022,33250
3577,KOTA MADIUN,2022,38735
3578,KOTA SURABAYA,2022,686072
3579,KOTA BATU,2022,30868
3501,KABUPATEN PACITAN,2023,99836
3502,KABUPATEN PONOROGO,2023,149775
3503,KABUPATEN TRENGGALEK,2023,224076
3504,KABUPATEN TULUNGAGUNG,2023,258200
3505,KABUPATEN BLITAR,2023,390004
3506,KABUPATEN KEDIRI,2023,439943
3507,KABUPATEN MALANG,2023,830242
3508,KABUPATEN LUMAJANG,2023,230032
3509,KABUPATEN JEMBER,2023,198428
3510,KABUPATEN BANYUWANGI,2023,455903
3511,KABUPATEN BONDOWOSO,2023,180030
3512,KABUPATEN SITUBONDO,2023,164379
3513,KABUPATEN PROBOLINGGO,2023,130325
3514,KABUPATEN PASURUAN,2023,505627
3515,KABUPATEN SIDOARJO,2023,662541
3516,KABUPATEN MOJOKERTO,2023,356418
3517,KABUPATEN JOMBANG,2023,330604
3518,KABUPATEN NGANJUK,2023,185045
3519,KABUPATEN MADIUN,2023,130410
3520,KABUPATEN MAGETAN,2023,218321
3521,KABUPATEN NGAWI,2023,262065
3522,KABUPATEN BOJONEGORO,2023,332551
3523,KABUPATEN TUBAN,2023,283784
3524,KABUPATEN LAMONGAN,2023,360644
3525,KABUPATEN GRESIK,2023,268912
3526,KABUPATEN BANGKALAN,2023,301530
3527,KABUPATEN SAMPANG,2023,292124
3528,KABUPATEN PAMEKASAN,2023,236875
3529,KABUPATEN SUMENEP,2023,264042
3571,KOTA KEDIRI,2023,93610
3572,KOTA BLITAR,2023,52488
3573,KOTA MALANG,2023,223649
3574,KOTA PROBOLINGGO,2023,39805
3575,KOTA PASURUAN,2023,58612
3576,KOTA MOJOKERTO,2023,42763
3577,KOTA MADIUN,2023,50711
3578,KOTA SURABAYA,2023,875411
3579,KOTA BATU,2023,47114
3501,KABUPATEN PACITAN,2024,124298
3502,KABUPATEN PONOROGO,2024,172338
3503,KABUPATEN TRENGGALEK,2024,64480
3504,KABUPATEN TULUNGAGUNG,2024,296597
3505,KABUPATEN BLITAR,2024,391130
3506,KABUPATEN KEDIRI,2024,120174
3507,KABUPATEN MALANG,2024,247869
3508,KABUPATEN LUMAJANG,2024,274601
3509,KABUPATEN JEMBER,2024,184554
3510,KABUPATEN BANYUWANGI,2024,132739
3511,KABUPATEN BONDOWOSO,2024,83309
3512,KABUPATEN SITUBONDO,2024,164007
3513,KABUPATEN PROBOLINGGO,2024,104769
3514,KABUPATEN PASURUAN,2024,108643
3515,KABUPATEN SIDOARJO,2024,130584
3516,KABUPATEN MOJOKERTO,2024,117137
3517,KABUPATEN JOMBANG,2024,359973
3518,KABUPATEN NGANJUK,2024,237392
3519,KABUPATEN MADIUN,2024,61050
3520,KABUPATEN MAGETAN,2024,235752
3521,KABUPATEN NGAWI,2024,299126
3522,KABUPATEN BOJONEGORO,2024,128968
3523,KABUPATEN TUBAN,2024,75828
3524,KABUPATEN LAMONGAN,2024,361720
3525,KABUPATEN GRESIK,2024,145935
3526,KABUPATEN BANGKALAN,2024,71362
3527,KABUPATEN SAMPANG,2024,249446
3528,KABUPATEN PAMEKASAN,2024,240414
3529,KABUPATEN SUMENEP,2024,270023
3571,KOTA KEDIRI,2024,27041
3572,KOTA BLITAR,2024,53759
3573,KOTA MALANG,2024,94250
3574,KOTA PROBOLINGGO,2024,48330
3575,KOTA PASURUAN,2024,18844
3576,KOTA MOJOKERTO,2024,16010
3577,KOTA MADIUN,2024,23764
3578,KOTA SURABAYA,2024,851331
3579,KOTA BATU,2024,58862
